Question,Answer(s)
"[<div class=""qaDetailsContent"">
My mother passed away and left me and my brother a house. he keeps turning down offers that I want to accept. the realtors are tired of dealing with him and so am I .
</div>, <div class=""small-12 columns qaDetailsContent"">
Attorneys are not going to answer your question in a forum like this.  You need to contact an attorney directly for that type of information. The fee would depend on yours and your brother's locations, the value of the property, and how much equity your mother had in it. Since it is impossible to tell whether this will take a long time to resolve or whether your brother will be reasonable and agree to sell the property privately once he realizes how much equity is going to be eaten up by the litigation, most attorneys would start off with a fairly modest retainer fee and then work on an hourly basis after that. You need to look for an attorney who is both experienced in real estate (like me) and also litigation (like me).  Many real estate attorneys only handle transactions, and are uncomfortable in a courtroom (unlike me).  Good luck. 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Attorneys are not going to answer your question in a forum like this.  You need to contact an attorney directly for that type of information. The fee would depend on yours and your brother's locations, the value of the property, and how much equity your mother had in it. Since it is impossible to tell whether this will take a long time to resolve or whether your brother will be reasonable and agree to sell the property privately once he realizes how much equity is going to be eaten up by the litigation, most attorneys would start off with a fairly modest retainer fee and then work on an hourly basis after that. You need to look for an attorney who is both experienced in real estate (like me) and also litigation (like me).  Many real estate attorneys only handle transactions, and are uncomfortable in a courtroom (unlike me).  Good luck. 
</div>]"
"[<div class=""qaDetailsContent"">
I have a document signed by this person that he owes me the money above disclosed. In order to collect my money back, can I put a lien on the property or do I have to suit him?
</div>, <div class=""small-12 columns qaDetailsContent"">
If the relative is in PR you have to sue there.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If the relative is in PR you have to sue there.
</div>]"
"[<div class=""qaDetailsContent"">
Currently living in home. I was just mailed notice of sale by auction to be heard on 5/14. Do I have any options of staying in the home or buying it myself?
</div>, <div class=""small-12 columns qaDetailsContent"">
You can bid at the auction.  The only way to stop it at the point of sale is a bankruptcy.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You can bid at the auction.  The only way to stop it at the point of sale is a bankruptcy.
</div>]"
"[<div class=""qaDetailsContent"">
My mortgage is solely in my name. My wife and mother in law are on the deed( not sure why) my mother in law has passed away, is she considered to have an asset in my home. She has lived there for 20+ years with no financial stake in the home.
</div>, <div class=""small-12 columns qaDetailsContent"">
The deed shows who owns it.  How title passed after your mother in law's death is determined by the way the deed is drafted.  The mortgage is the debt.  You cannot get ""rent"" for 20 years if there was no lease.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The deed shows who owns it.  How title passed after your mother in law's death is determined by the way the deed is drafted.  The mortgage is the debt.  You cannot get ""rent"" for 20 years if there was no lease.
</div>]"
"[<div class=""qaDetailsContent"">
There has been no maintenance to interior and exterior of home. Home has depreciated in value and need dad gone to begin repairs during probate.
</div>, <div class=""small-12 columns qaDetailsContent"">
You can evict the tenant, but it requires a court proceeding.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You can evict the tenant, but it requires a court proceeding.
</div>]"
"[<div class=""qaDetailsContent"">
I. Live in NYC, and I own a plot of land. On the island of Exuma. I want to transfer the title of the property a friend who is a Bahamian citizen, although she lives in NYC. I am giving her the property so it is just a changing of the deed.
</div>, <div class=""small-12 columns qaDetailsContent"">
You need a lawyer in the Bahamas, but there may be some that have an NYC office too. 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You need a lawyer in the Bahamas, but there may be some that have an NYC office too. 
</div>]"
"[<div class=""qaDetailsContent"">
Just bought a home a month ago.was not told by anyone there is a yearly HOA fee,and never wanted to be a part of a HOA in the first place.I t is not even on my paperwork including title.We found out there is a public path to the Shrine in Manorville from side of our house that goes behind it,that people from this community,and the Shrine are illegally entering and exiting.There is a lot of criminal activity at the Shrine at night,was even just recently on the news.The HOA is claiming no responsibility to it,and neither is town.There was just a guy walking down the wooded path smoking.What am I suppose to do to protect my self,and how is my lawyer,and real estate who kept this from us not responsible in some way?
</div>, <div class=""small-12 columns qaDetailsContent"">
HOA restrictions are on title.  You should have known.  You have no remedy now.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
HOA restrictions are on title.  You should have known.  You have no remedy now.
</div>]"
"[<div class=""qaDetailsContent"">
I began the sale of my co-op then i discovered there were liens on the property that i was told is my responsibility to remove The banks that are responsible for removing these liens have filed but they may not be recorded for 1 to 3 months I want to cancel the sale before the buyer goes before the Board for approval because if they are approved the closing date will be set and the liens might still be showing I have changed my mind about selling the property because of this confusion. I will revisit my options once the liens re moved if I can cancel will there be a penalty
</div>, <div class=""small-12 columns qaDetailsContent"">
Assuming you are using the form contract, removal of liens is required at closing, but one to three months is a normal time to do it.  You cannot get out the contract for this issue at this time.
</div>, <div class=""small-12 columns qaDetailsContent"">
This is a perfect example of why it is crucial to have a lawyer involved when you are buying or selling a house, co-op or condo. The contract may look like a boiler plate document (it is) that anyone can find and purchase online (it is), fill in the selling price of the property, mortgage amount and closing date, have the buyer and seller sign on the dotted lines (you can) and voila, you're in contract (you will be). WRONG. As the expression goes, ""God is in the details"". There is no way to tell whether you can cancel the contract without risking a lawsuit for specific performance (a court order that forces you to sell to that buyer) without reviewing the contract and any riders to it. And you need to move fast- the longer you wait, the less likely you'd be able to cancel without a fight from the buyer. 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Assuming you are using the form contract, removal of liens is required at closing, but one to three months is a normal time to do it.  You cannot get out the contract for this issue at this time.
</div>, <div class=""small-12 columns qaDetailsContent"">
This is a perfect example of why it is crucial to have a lawyer involved when you are buying or selling a house, co-op or condo. The contract may look like a boiler plate document (it is) that anyone can find and purchase online (it is), fill in the selling price of the property, mortgage amount and closing date, have the buyer and seller sign on the dotted lines (you can) and voila, you're in contract (you will be). WRONG. As the expression goes, ""God is in the details"". There is no way to tell whether you can cancel the contract without risking a lawsuit for specific performance (a court order that forces you to sell to that buyer) without reviewing the contract and any riders to it. And you need to move fast- the longer you wait, the less likely you'd be able to cancel without a fight from the buyer. 
</div>]"
"[<div class=""qaDetailsContent"">
Do I have to have a lawyer to purchase property in NYS?
</div>, <div class=""small-12 columns qaDetailsContent"">
It is advisable to have a lawyer in Syracuse.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It is advisable to have a lawyer in Syracuse.
</div>]"
[],[]
"[<div class=""qaDetailsContent"">
I will research a titling company to get all the info on the land. We will be paying cash for the property. No mortgage company.
</div>, <div class=""small-12 columns qaDetailsContent"">
Title insurance is not required.  You are insane to not have it however.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Title insurance is not required.  You are insane to not have it however.
</div>]"
"[<div class=""qaDetailsContent"">
Do you handle for sale by owner transactions?
</div>, <div class=""small-12 columns qaDetailsContent"">
Where is the property you want to sell located?
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Where is the property you want to sell located?
</div>]"
"[<div class=""qaDetailsContent"">
i would like to transfer a property i have siblings but they are willing to sign off what do i need to do im so confused and unsure and do not have alot of money
</div>, <div class=""small-12 columns qaDetailsContent"">
If all siblings will sign a deed, you can transfer it just by doing a deed.  Should be a few hundred dollars.  You do not need a whole estate.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If all siblings will sign a deed, you can transfer it just by doing a deed.  Should be a few hundred dollars.  You do not need a whole estate.
</div>]"
"[<div class=""qaDetailsContent"">
My ex(never married) have a house together but I was forced to leave due to him acting irrational and I didn’t feel safe with him there. Can he claim I abandoned the house if I haven’t been staying there. I still pay half the mortgage. Just want to know if he can do anything since we are discussing how we are going to settle the house situation. Thank you
</div>, <div class=""small-12 columns qaDetailsContent"">
The deed governs.  There is no abandonment issue.  If you cannot agree on a settlement you can bring what is called a partition action.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The deed governs.  There is no abandonment issue.  If you cannot agree on a settlement you can bring what is called a partition action.
</div>]"
"[<div class=""qaDetailsContent"">
I own a single family house and am renting out basement. Meets safety regulations. Tenant is breaking rules that were sighed on the lease. Do I have any rights? Would like her to move out when the year lease is up in March.
</div>, <div class=""small-12 columns qaDetailsContent"">
If your tenant is breaching his lease, you can take action to terminate the lease immediately and then start a Holdover eviction action in Housing Court. Alternatively you can wait until the lease expires and then start the Holdover action.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If your tenant is breaching his lease, you can take action to terminate the lease immediately and then start a Holdover eviction action in Housing Court. Alternatively you can wait until the lease expires and then start the Holdover action.
</div>]"
"[<div class=""qaDetailsContent"">
I need help understanding my rights I applying for a loan
</div>, <div class=""small-12 columns qaDetailsContent"">
You do not need a lawyer.  Talk to several lenders to see what is right for you.  Start wherever you have a bank account as they have your income history to determine how big a loan you can get.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You do not need a lawyer.  Talk to several lenders to see what is right for you.  Start wherever you have a bank account as they have your income history to determine how big a loan you can get.
</div>]"
"[<div class=""qaDetailsContent"">
2 cases pending A contemplation of marriage 10 years old decision reciever aptd by court ex fiance signed note and mortgage alone deed in 50% in each name. B forclosure of above note is fraudulant and assigned supreme court ruled no proof of note and beyond statue of limitations . New law firm claiming to have right to forclose because he contacted reciever saying he is the holder of note and to transfer recievership so he can sell house and collect on the note. I believe all is fraud i live in home ex fiancee gave up rights to give away ownership. Judge just ruled new creditor can re open proceedings. I believe he can not produce note and their is no proof of title transfer through miers
</div>, <div class=""small-12 columns qaDetailsContent"">
If you are on the deed, you have rights.  The rest of your post is incoherent.  Bring the papers to a lawyer.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If you are on the deed, you have rights.  The rest of your post is incoherent.  Bring the papers to a lawyer.
</div>]"
"[<div class=""qaDetailsContent"">
All and any Assets were join for many years prior to death. So is it necessary to probate a will? The will passes everything to the same one and only child anyway.
</div>, <div class=""small-12 columns qaDetailsContent"">
No.  But you must have a reason for asking, so maybe in your case the answer is yes.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
No.  But you must have a reason for asking, so maybe in your case the answer is yes.
</div>]"
"[<div class=""qaDetailsContent"">
My bid on the condo was accepted late October. I was notified of a Board required application in mid-December (3 weeks before closing). The application requested my bank account information as well as 2 years of W2s. I submitted the application and fees with a statement that I was uncomfortable with including my financial information to volunteer Board members who would be my future neighbor's and that my bank already vetted my financial info and I obtained a mortgage with no issue. This requirement is not in the bylaws of the Condo. There is also an interview process which is designed as a meet and greet. However, the Board will not grant an interview without my financial info nor will they issue the waiver of ""right of first refusal."" Please advise if I need to provide my financial info. Thank you.
</div>, <div class=""small-12 columns qaDetailsContent"">
If you want this apartment, you are going to have to comply.  It is not illegal.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If you want this apartment, you are going to have to comply.  It is not illegal.
</div>]"
"[<div class=""qaDetailsContent"">
Hello. My new neighbor has a zero lot line which is also my driveway. The neighbor has a right of way. (Previous owner only used right of way for oil delivery and foot traffic) My driveway, just wide enough to fit 1 car width between the houses) is the only thing separating our houses, there is no other land between. The neighbor has remodeled his home and now runs his large electric box attached to his home jutting out almost a foot into my driveway so my car mirror scrapes on it, and has been torn off. Also they now vent their smelly perfume dryer directly into the driveway, which is at the exact level of my kitchen windows (facing into the driveway). I cannot ever open my windows and have had to cover them in plastic to prevent the dryer fumes from entering my home. (Our homes are early 1900s single family city homes). Can you offer any suggestions? Thank you.
</div>, <div class=""small-12 columns qaDetailsContent"">
You can sue to get an order confirming the right of way, but it will cost more than it is worth.  Shared driveways are always an issue.
</div>, <div class=""small-12 columns qaDetailsContent"">
The fact that your neighbor has a right-of-way does not give him the right to permanently encroach on your property with an electric box that trespasses into your property, effectively making it impossible for you to park in your own driveway. You definitely have an action for trepass against your neighbor and should be able to compel him to relocate his electric box. You may also have an action for nuisance and trespass for the fumes from the dryer vent, but that may be more difficult to prove, depending on the location of the vent and severity and frequency of the fumes. Unless your neighbors run the dryer constantly, it will be difficult to prove that you literally cannot ever open your windows.  
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You can sue to get an order confirming the right of way, but it will cost more than it is worth.  Shared driveways are always an issue.
</div>, <div class=""small-12 columns qaDetailsContent"">
The fact that your neighbor has a right-of-way does not give him the right to permanently encroach on your property with an electric box that trespasses into your property, effectively making it impossible for you to park in your own driveway. You definitely have an action for trepass against your neighbor and should be able to compel him to relocate his electric box. You may also have an action for nuisance and trespass for the fumes from the dryer vent, but that may be more difficult to prove, depending on the location of the vent and severity and frequency of the fumes. Unless your neighbors run the dryer constantly, it will be difficult to prove that you literally cannot ever open your windows.  
</div>]"
"[<div class=""qaDetailsContent"">
it's been almost 5 months now and I paid him almost 18k already, he claimed he needed the money to purchase materials, hire architect etc...but to this date he hasn't filed a single paper for permit or purchase any materials or anything else. i have a contract and receipt of the money that was given to him. now when i call him, he hangs up the phone on me or treatens me and tells me not to bother him. after doing my own research and talking to his family members, it turns out this is his normal routine and he has done it to many others.
</div>, <div class=""small-12 columns qaDetailsContent"">
You need to sue for return of the money.  You can also file a grievance against his license.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You need to sue for return of the money.  You can also file a grievance against his license.
</div>]"
"[<div class=""qaDetailsContent"">
I purchased an investment property with my girlfriend. We broke up during the renovation. We added up all the money spent on both the purchase and repairs. I cut her a check for the entire amount she spent. Unfortunately I wrote up a quick contract which she signed agreeing to the terms. Contacting the title company she needed to sign another document and have it notarized to transfer her ownership. She won't sign over there property to me. Am I screwed?
</div>, <div class=""small-12 columns qaDetailsContent"">
Unless she signs a deed, which is the only document we are talking about, you are screwed.  You can bring a court case to require her to sign the deed, if you have an agreement to do so.  So, you have a remedy.  It is just not easy.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Unless she signs a deed, which is the only document we are talking about, you are screwed.  You can bring a court case to require her to sign the deed, if you have an agreement to do so.  So, you have a remedy.  It is just not easy.
</div>]"
"[<div class=""qaDetailsContent"">
He won’t let me buy him out because he doesn’t want my new boyfriend living there. I’ve paid for the new pool, sprinkler system and part of the fence. We also have animals on the property that i don’t want to get rid of. What can i do if he doesn’t agree. I put down more than half of the down payment as well
</div>, <div class=""small-12 columns qaDetailsContent"">
You need to commence a partition action.  It is your only remedy.  While the court cannot order a buyout, it is a common settlement option.
</div>, <div class=""small-12 columns qaDetailsContent"">
You can't force your ex to sell his share to you, but you can force him to give you YOUR share, either by a physical partition (in the unlikely event that is practical) or by a judicial sale of the property in a partition action. Sue him for partition, and when he sees how much of his share will be spent on the fees and costs that go along with such a sale, he might agree to settle with you, since it will allow him to walk away with more money in his pocket. And next time, don't put all that money into a property that you co-own with ANYONE who isn't willing to split the costs, up front. You may or may not get them back in a partition action, but you'll probably spend a lot of money in legal fees battling it out.  And in the future, don't buy a property together with anyone (even a spouse) without a right-of-first refusal to purchase the other person's share written into the deed or in a separate agreement, in the event you can no longer live together. 
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You need to commence a partition action.  It is your only remedy.  While the court cannot order a buyout, it is a common settlement option.
</div>, <div class=""small-12 columns qaDetailsContent"">
You can't force your ex to sell his share to you, but you can force him to give you YOUR share, either by a physical partition (in the unlikely event that is practical) or by a judicial sale of the property in a partition action. Sue him for partition, and when he sees how much of his share will be spent on the fees and costs that go along with such a sale, he might agree to settle with you, since it will allow him to walk away with more money in his pocket. And next time, don't put all that money into a property that you co-own with ANYONE who isn't willing to split the costs, up front. You may or may not get them back in a partition action, but you'll probably spend a lot of money in legal fees battling it out.  And in the future, don't buy a property together with anyone (even a spouse) without a right-of-first refusal to purchase the other person's share written into the deed or in a separate agreement, in the event you can no longer live together. 
 
</div>]"
"[<div class=""qaDetailsContent"">
I use to own this house this property with my daughter. I am getting older now and I want to give her sole ownership. How do I do this?
</div>, <div class=""small-12 columns qaDetailsContent"">
Have a deed drafted.  Very simple.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Have a deed drafted.  Very simple.
</div>]"
"[<div class=""qaDetailsContent"">
i have 3 other siblings that makes 4 of us three of us would like to sell the house. of course the one thats living there disagree what would i have to do to make her sell
</div>, <div class=""small-12 columns qaDetailsContent"">
If the title is still in the name of your parents, was there a will? If not, someone needs to become administrator to sell the house by an estate.
</div>, <div class=""small-12 columns qaDetailsContent"">
Interesting question. I assume there was either a will that left the house to all the siblings equally, or no will but by law the house passed to all of you.  Either way, you can bring an action in Supreme Court for partition of the property, which would entail a judicial sale, but it's unclear whether you'd win, given the passage of time. If you and your siblings have contributed to the cost of upkeep on the house, taxes, mortgage, maintenance, repair, and treated the property as your own, and your sister as a tenant, you have a chance of succeeeding. In that case, an alternative to a judicial sale would be for your sister to buy out the three of you if she wishes to stay in the house. 
If on the other hand your sister has handled all of the costs for the past 20 years, it's likely that the court would determine the the house was divested by the fiduciary (assuming someone was appointed administator or executor), meaning at a certain point it was no longer part of the estate and it didn't pass to you by law. If there is an actual deed to the property that names all of you, that would help prove ownership.
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If the title is still in the name of your parents, was there a will? If not, someone needs to become administrator to sell the house by an estate.
</div>, <div class=""small-12 columns qaDetailsContent"">
Interesting question. I assume there was either a will that left the house to all the siblings equally, or no will but by law the house passed to all of you.  Either way, you can bring an action in Supreme Court for partition of the property, which would entail a judicial sale, but it's unclear whether you'd win, given the passage of time. If you and your siblings have contributed to the cost of upkeep on the house, taxes, mortgage, maintenance, repair, and treated the property as your own, and your sister as a tenant, you have a chance of succeeeding. In that case, an alternative to a judicial sale would be for your sister to buy out the three of you if she wishes to stay in the house. 
If on the other hand your sister has handled all of the costs for the past 20 years, it's likely that the court would determine the the house was divested by the fiduciary (assuming someone was appointed administator or executor), meaning at a certain point it was no longer part of the estate and it didn't pass to you by law. If there is an actual deed to the property that names all of you, that would help prove ownership.
 
</div>]"
"[<div class=""qaDetailsContent"">
I have renters living next door to me that r either dealing drugs or have rented rooms illegally can I get them evicted the landlord does not even live in the state
</div>, <div class=""small-12 columns qaDetailsContent"">
Call the police for the drugs.  Your town code enforcement for the illegal rental.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Call the police for the drugs.  Your town code enforcement for the illegal rental.
</div>]"
"[<div class=""qaDetailsContent"">
want my son to inherit my home my name on deed now im 72
</div>, <div class=""small-12 columns qaDetailsContent"">
No problem.  A deed to your son is simple.  The recording fee varies by county and you did not post yours, so the cost cannot be determined.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
No problem.  A deed to your son is simple.  The recording fee varies by county and you did not post yours, so the cost cannot be determined.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
It depends if the apartment is rent controlled, or not.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It depends if the apartment is rent controlled, or not.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
You need to make a request to the Board, and the applicant must qualify under HDFC guidelines.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You need to make a request to the Board, and the applicant must qualify under HDFC guidelines.
</div>]"
"[<div class=""qaDetailsContent"">
Hello, I need to open a trust escrow account for my real estate brokerage for the property management division. The bank says I need a business agreement letter between the trust and the business to open the account. I have asked 2 attorneys I know personally and they have no idea. Can anyone assist with this?
</div>, <div class=""small-12 columns qaDetailsContent"">
You are using the wrong terms and confusing people.  You need a security deposit escrow account?  That is one specialty.  Or, do you need an escrow account for a licensed broker.  For that you need to be a licensed broker.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You are using the wrong terms and confusing people.  You need a security deposit escrow account?  That is one specialty.  Or, do you need an escrow account for a licensed broker.  For that you need to be a licensed broker.
</div>]"
"[<div class=""qaDetailsContent"">
I live in NYC but I have an investment property in NJ with a mortgage attached, that I would like to move to an LLC, what is my best course of action?
</div>, <div class=""small-12 columns qaDetailsContent"">
You can change the title, but not the mortgage.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You can change the title, but not the mortgage.
</div>]"
"[<div class=""qaDetailsContent"">
Hi, I am the sole lease holder on a lease that is expiring shortly and my roommate is the registered occupant. She is moving out and someone is looking to move in to take her place. I would like to renew the lease instead of signing a new lease, as a new lease would require a re-qualification fee and an increase in rent. The leasing agency will not let me add a co-tenant to the renewal lease however, so it would have to again be a new registered occupant (unless I want to sign a whole new lease). My question is, is there any document I can have written up as the leaseholder that has legal binding so that the occupant is responsible for paying their portion of the rent?
</div>, <div class=""small-12 columns qaDetailsContent"">
If you are rent stabilized you are entitled to a renewal lease. If you are not stabilized, your landlord can impose any terms that he desires.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If you are rent stabilized you are entitled to a renewal lease. If you are not stabilized, your landlord can impose any terms that he desires.
</div>]"
"[<div class=""qaDetailsContent"">
My offer was accepted by the buyer and later approved by the ""asset company"" acting on behalf of the seller's bank. Closing is continually being delayed due to the seller not returning documents to his attorney. Complicating the matter is the fact that the seller is out of state and is now said to be incarcerated in a federal prison. The seller's attorney says that they made contact with the seller who promised to sign and return the documents. I believe that the asset company has made contact as well and were promised the same. For some reason it seems that the seller is unwilling to sign the documents to complete the transaction. The house has been vacant and abandoned for several years. My question is: Can I sue for specific performance and have the court force the sale of the property in accordance with the contract?
</div>, <div class=""small-12 columns qaDetailsContent"">
Yes and no.  You can sue for specific performance but the issue is enforcement.  To finish the short sale, the seller needs to sign stuff.  If he is in jail already, enforcing seems hard.  Also, money damages against a short seller are not going to matter either.  You could spend a lot in legal fees, prevent the sale to someone else, and still get nothing.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Yes and no.  You can sue for specific performance but the issue is enforcement.  To finish the short sale, the seller needs to sign stuff.  If he is in jail already, enforcing seems hard.  Also, money damages against a short seller are not going to matter either.  You could spend a lot in legal fees, prevent the sale to someone else, and still get nothing.
</div>]"
"[<div class=""qaDetailsContent"">
I gave notice halfway &amp; my landlord rejected it saying that they only take notices on the 1st of each month.
</div>, <div class=""small-12 columns qaDetailsContent"">
No.  Just 30 days without accepting rent.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
No.  Just 30 days without accepting rent.
</div>]"
"[<div class=""qaDetailsContent"">
Hello, My name is Robin Forbes. Me and my Fiancé are new real estate investors. I want to know who can help us succeed in our first wholesale deal and kick start our wholesaling business or even more.
</div>, <div class=""small-12 columns qaDetailsContent"">
If you are looking for investors this is not the way to do it.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If you are looking for investors this is not the way to do it.
</div>]"
"[<div class=""qaDetailsContent"">
I feel absolutely violated. I am aware of laws in the health field, are there any for realtors?
</div>, <div class=""small-12 columns qaDetailsContent"">
How did she get a key.  If from you there is no issue.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
How did she get a key.  If from you there is no issue.
</div>]"
"[<div class=""qaDetailsContent"">
Case: Rental security deposit fail to be reimbursed by landlord who is also a real-estate agent. 1. Judgment rendered on my behalf for return of $1500 plus interest. 2. Attempts to retrieve from bank account failed due to joint ownership 3. Lien placed on property Time Lapse: approximately one year Q: what are my options for collecting?
</div>, <div class=""small-12 columns qaDetailsContent"">
Have the Sheriff levy the building the landlord owns and sell it.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Have the Sheriff levy the building the landlord owns and sell it.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
Your contents cannot be sold.  If you have a lease it must be honored in certain cases.  If month to month, you can be evicted.  You did not post a city, and time for eviction varies greatly by location.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Your contents cannot be sold.  If you have a lease it must be honored in certain cases.  If month to month, you can be evicted.  You did not post a city, and time for eviction varies greatly by location.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
A real estate lawyer. 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
A real estate lawyer. 
</div>]"
"[<div class=""qaDetailsContent"">
Want to buy a property. Cost $82,900. Owner to hold $75,000. He has drawn up a land contract and attached a promissory note in the amount of $75,000. Is this normal practice? If not why would he want a promissory note in addition to the contract? I am leary of my wife and I signing the note in case we had something happen and defaulted. Any advice or clariclarifying would be great.
</div>, <div class=""small-12 columns qaDetailsContent"">
Land contracts are basically a scam to avoid mortgage tax.  No buyer should ever do this.  Get title and give a mortgage if Seller is financing you.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Land contracts are basically a scam to avoid mortgage tax.  No buyer should ever do this.  Get title and give a mortgage if Seller is financing you.
</div>]"
"[<div class=""qaDetailsContent"">
Withold rent whil avoiding eviction?
</div>, <div class=""small-12 columns qaDetailsContent"">
You cannot just withhold rent.  You can sue to have the repairs done, or make them yourself, and sue for the money.  If you get a judgment you can withhold rent.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You cannot just withhold rent.  You can sue to have the repairs done, or make them yourself, and sue for the money.  If you get a judgment you can withhold rent.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
The seller's attorney drafts the deed to your specifications, conveyed by your attorney.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The seller's attorney drafts the deed to your specifications, conveyed by your attorney.
</div>]"
"[<div class=""qaDetailsContent"">
Have vacant lots for sale(by owner). An interested party refuses any written purchase commitment. Wants explicit details of Survey, width of access rd., etc. etc. etc. Before paying these expenses, shouldn’t I expect something more than a verbal commitment only? If so, what type?
</div>, <div class=""small-12 columns qaDetailsContent"">
You are correct.  The contract can be subject to certain representations, but the buyer needs to investigate these issues before making a contract.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You are correct.  The contract can be subject to certain representations, but the buyer needs to investigate these issues before making a contract.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
Fair offer for what?  Your home was sold.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Fair offer for what?  Your home was sold.
</div>]"
"[<div class=""qaDetailsContent"">
Do I have the right of redemption to keep my home from being foreclosed? Per online research; the Foreclosure Statue of limitations in NY is 6 years. Facts: (1). Mortgage became default 10/01/2007 (2). The lender filed FC (L/P) case on 03/10/2008 (3). The FC (L/P) case was cancelled on 03/27/2013 *****6 years** (4). The lender then filed a new FC (L/P) case on 03/08/16. The current status of the FC process on the public record is a (NOTICE) recorded on 05/04/2017. No judgement order. (5). FYI - Since I wasn't aware of the 2nd filing, until recently. I did not have the opportunity to file a defense for 03/08/16. (6). FYI – The FC is now well over 10 years, dating from 2007 thru 2017. Question: Do I have a chance to keep my home know, due to neglect from Coountrywide Mortgage / US Bank?
</div>, <div class=""small-12 columns qaDetailsContent"">
The issue is what happened to the first case.  Was it dismissed or withdrawn.  This is actually a cutting edge issue as many of these old cases come up.  If you have not made any payment since 2007, you have an argument.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The issue is what happened to the first case.  Was it dismissed or withdrawn.  This is actually a cutting edge issue as many of these old cases come up.  If you have not made any payment since 2007, you have an argument.
</div>]"
